model,year,price,transmission,mileage,mpg,engine
 5 Series,2017,22980,Automatic,21687,53.3,3
 4 Series,2018,20980,Semi-Auto,11403,48.7,2
 4 Series,2016,18860,Semi-Auto,15422,65.7,2
 3 Series,2016,18656,Semi-Auto,27621,56.5,3
 3 Series,2016,20584,Semi-Auto,36137,53.3,3
 1 Series,2015,11180,Manual,43424,72.4,1.5
 3 Series,2020,34993,Semi-Auto,6250,47.9,3
 5 Series,2015,15995,Semi-Auto,31309,62.8,2
 4 Series,2016,22431,Semi-Auto,31663,51.4,3
 X1,2016,19480,Semi-Auto,19829,57.6,2
 3 Series,2019,25780,Semi-Auto,9354,45.6,2
 5 Series,2019,26380,Semi-Auto,7609,65.7,2
 X5,2019,56980,Semi-Auto,12173,33.6,3
 1 Series,2018,22761,Semi-Auto,24866,32.5,3
 X5,2019,56980,Semi-Auto,9029,33.6,3
 2 Series,2018,16780,Semi-Auto,21204,40.9,1.5
 4 Series,2019,26990,Semi-Auto,4278,52.3,3
 X1,2019,25990,Semi-Auto,8989,60.1,2
 2 Series,2019,24490,Manual,8615,60.1,2
 X4,2019,36990,Semi-Auto,8454,42.8,2
 M5,2019,63980,Semi-Auto,5000,26.9,4.4
 2 Series,2017,21000,Semi-Auto,25435,39.8,3
 3 Series,2016,16886,Automatic,24081,54.3,3
 1 Series,2016,18866,Automatic,20581,39.8,3
 X4,2019,38182,Semi-Auto,2316,42.8,2
 3 Series,2018,21512,Automatic,21045,62.8,2
 M4,2016,34932,Semi-Auto,23765,34,3
 1 Series,2014,12222,Semi-Auto,11463,50.4,1.6
 3 Series,2017,15652,Semi-Auto,68299,62.8,2
 5 Series,2018,22601,Semi-Auto,50628,60.1,2
 3 Series,2015,13990,Manual,30441,64.2,2
 4 Series,2019,32990,Semi-Auto,2403,60.1,2
 X1,2017,17370,Manual,29575,58.9,2
 X4,2015,18390,Manual,53197,52.3,2
 3 Series,2015,11560,Automatic,60803,67.3,2
 3 Series,2018,19990,Automatic,23494,57.6,2
 3 Series,2018,21232,Semi-Auto,16219,64.2,2
 X1,2019,26190,Semi-Auto,7137,65.7,2
 X3,2015,18192,Manual,33269,52.3,2
 7 Series,2017,30972,Semi-Auto,15405,54.3,3
 X2,2019,25980,Semi-Auto,6521,39.2,2
 X5,2016,21986,Automatic,54425,47.9,3
 X4,2019,41376,Automatic,9095,37.2,3
 X7,2019,69146,Automatic,2567,24.8,3
 X3,2019,42836,Semi-Auto,6881,36.7,3
 X4,2019,35694,Semi-Auto,4832,42.8,2
 X1,2017,22052,Semi-Auto,13217,44.8,2
 4 Series,2017,19961,Semi-Auto,22100,65.7,2
 4 Series,2019,26592,Semi-Auto,7038,52.3,3
 X5,2019,49991,Semi-Auto,6927,37.7,3
 1 Series,2015,13111,Manual,23320,70.6,2
 2 Series,2016,21211,Semi-Auto,26182,37.2,3
 3 Series,2017,19702,Semi-Auto,27225,62.8,2
 5 Series,2017,33122,Semi-Auto,11817,51.4,3
 X3,2017,28562,Semi-Auto,14557,47.9,3
 X6,2019,59990,Semi-Auto,2137,34.9,3
 X2,2019,29990,Semi-Auto,4137,39.2,2
 2 Series,2019,25490,Automatic,3339,49.6,2
 3 Series,2016,18212,Semi-Auto,9020,65.7,2
 3 Series,2015,16276,Automatic,31238,55.4,2
 X2,2020,34990,Automatic,2137,34,2
 5 Series,2020,42990,Semi-Auto,2137,60.1,3
 X1,2016,19682,Semi-Auto,41455,57.6,2
 X3,2020,54990,Semi-Auto,2137,5.5,2
 3 Series,2013,8492,Manual,73428,68.9,2
 5 Series,2019,37540,Automatic,4562,60.1,3
 X2,2019,29970,Automatic,3760,36.2,2
 1 Series,2019,29680,Automatic,8388,48.7,2
 X2,2019,31980,Automatic,4804,34,2
 5 Series,2019,29140,Semi-Auto,1499,47.9,2
 4 Series,2019,33230,Semi-Auto,6427,44.8,2
 2 Series,2019,24110,Semi-Auto,4348,49.6,2
 3 Series,2019,32550,Automatic,10984,49.6,2
 3 Series,2017,19082,Semi-Auto,31144,62.8,2
 2 Series,2019,20896,Automatic,15462,67.3,2
 X7,2019,62990,Semi-Auto,2137,33.6,3
 1 Series,2019,18840,Semi-Auto,10000,54.3,1.5
 X5,2019,46440,Semi-Auto,1438,37.7,3
 3 Series,2019,25940,Semi-Auto,7821,53.3,2
 X6,2020,52990,Semi-Auto,3200,34.9,3
 5 Series,2019,26980,Automatic,105,50.4,2
 3 Series,2019,37940,Semi-Auto,1581,34.9,3
 X2,2020,33940,Automatic,2182,34,2
 2 Series,2019,20480,Automatic,8719,52.3,2
 3 Series,2019,26998,Semi-Auto,12327,48.7,2
 5 Series,2018,23998,Semi-Auto,31649,45.6,2
 3 Series,2018,15901,Manual,13759,52.3,1.5
 X5,2017,26822,Automatic,25288,50.4,2
 X1,2017,19912,Semi-Auto,25917,57.6,2
 1 Series,2019,21116,Semi-Auto,6742,65.7,2
 X1,2014,12702,Automatic,28375,52.3,2
 X3,2014,15112,Semi-Auto,69382,54.3,2
 X4,2019,35109,Semi-Auto,509,42.8,2
 X5,2016,28172,Automatic,69798,47.1,3
 X1,2016,19391,Semi-Auto,20761,60.1,2
 2 Series,2017,16172,Manual,13357,74.3,1.5
 2 Series,2020,23990,Semi-Auto,10,39.2,1.5
 X2,2020,24490,Semi-Auto,1,52.3,2
 1 Series,2019,18498,Manual,10624,65.7,2
 3 Series,2019,16698,Manual,12824,67.3,2
 X3,2018,34990,Semi-Auto,16202,34.5,3
 3 Series,2019,28980,Semi-Auto,5441,41.5,2
 3 Series,2019,30690,Automatic,4404,50.4,2
 5 Series,2018,22912,Semi-Auto,16530,68.9,2
 1 Series,2018,23052,Semi-Auto,19959,39.8,3
 4 Series,2019,29540,Semi-Auto,14137,49.6,3
 3 Series,2019,36740,Automatic,4137,39.8,2
 X1,2016,19752,Semi-Auto,18326,57.6,2
 X5,2019,54550,Automatic,8143,37.7,3
 1 Series,2019,19798,Semi-Auto,16406,67.3,2
 3 Series,2019,22998,Semi-Auto,20175,60.1,2
 5 Series,2014,15995,Semi-Auto,28500,51.4,3
 X1,2015,16250,Semi-Auto,46216,57.6,2
 4 Series,2016,20681,Semi-Auto,12531,48.7,2
 2 Series,2017,21862,Semi-Auto,29150,39.8,3
 1 Series,2017,19761,Semi-Auto,39681,39.8,3
 X1,2016,19572,Semi-Auto,32603,60.1,2
 X2,2018,32012,Semi-Auto,12652,58.9,2
 3 Series,2017,17701,Semi-Auto,51983,62.8,2
 4 Series,2015,15331,Manual,21324,39.8,2
 X5,2016,41211,Semi-Auto,46180,25.4,4.4
 X1,2016,18761,Semi-Auto,16755,55.4,2
 X5,2016,27852,Automatic,57501,85.6,2
 1 Series,2019,14498,Manual,15598,72.4,1.5
 1 Series,2014,8310,Manual,80664,64.2,2
 1 Series,2017,15490,Manual,25763,46.3,2
 3 Series,2014,11180,Automatic,60015,62.8,2
 X3,2015,19370,Semi-Auto,41312,54.3,2
 X1,2016,19158,Automatic,13090,44.8,2
 X5,2015,24250,Automatic,42966,47.1,3
 X5,2016,31990,Automatic,47814,42.8,3
 1 Series,2019,18499,Semi-Auto,748,70.6,2
 3 Series,2016,17980,Semi-Auto,33475,64.2,2
 X2,2020,26780,Semi-Auto,1500,61.4,2
 2 Series,2019,18880,Manual,6225,52.3,1.5
 X3,2019,31780,Semi-Auto,7281,54.3,2
 1 Series,2019,17980,Manual,8159,70.6,1.5
 3 Series,2019,27440,Semi-Auto,4376,42.2,2
 5 Series,2019,26850,Semi-Auto,7079,65.7,2
 2 Series,2019,18950,Manual,6311,42.8,1.5
 3 Series,2019,23980,Semi-Auto,1489,47.9,2
 3 Series,2019,24450,Semi-Auto,9522,62.8,2
 4 Series,2017,19000,Semi-Auto,26289,48.7,2
 1 Series,2017,18390,Automatic,4237,54.3,1.5
 3 Series,2016,17998,Semi-Auto,23106,134.5,2
 X2,2020,29990,Semi-Auto,5,42.8,1.5
 M4,2020,45990,Semi-Auto,6,34,3
 X3,2015,19990,Semi-Auto,53700,54.3,2
 2 Series,2018,31990,Semi-Auto,99,38.2,3
 X1,2019,23980,Manual,2953,51.4,1.5
 1 Series,2016,11499,Semi-Auto,46327,78.5,1.5
 1 Series,2017,14999,Manual,32082,70.6,1.5
 3 Series,2015,10999,Automatic,90018,70.6,2
 1 Series,2018,12291,Manual,45228,72.4,1.5
 1 Series,2016,14830,Semi-Auto,18095,65.7,2
 1 Series,2016,12760,Manual,27759,65.7,2
 1 Series,2013,7131,Manual,73919,65.7,2
 4 Series,2019,24975,Semi-Auto,5866,65.7,2
 5 Series,2019,26350,Semi-Auto,3623,65.7,2
 1 Series,2016,12475,Manual,17550,56.5,1.5
 1 Series,2019,23780,Semi-Auto,5939,40.4,1.5
 3 Series,2019,24990,Manual,4850,64.2,2
 2 Series,2019,21945,Semi-Auto,10086,47.9,2
 X1,2013,12490,Manual,33584,51.4,2
 3 Series,2016,14990,Manual,33201,48.7,2
 X1,2016,17998,Semi-Auto,38565,55.4,2
 2 Series,2018,17498,Semi-Auto,18970,51.4,1.5
 5 Series,2015,16998,Semi-Auto,31322,53.3,3
 3 Series,2015,16298,Semi-Auto,22867,56.5,3
 3 Series,2019,24498,Semi-Auto,14897,52.3,2
 2 Series,2020,21890,Semi-Auto,11,50.4,1.5
 2 Series,2020,22980,Manual,10,47.1,1.5
 4 Series,2020,26990,Semi-Auto,5,65.7,2
 6 Series,2020,36850,Semi-Auto,6,53.3,3
 5 Series,2020,26990,Semi-Auto,13,50.4,2
 1 Series,2016,12990,Manual,22700,72.4,1.5
 1 Series,2016,12990,Semi-Auto,25843,55.5,1.5
 1 Series,2016,19290,Semi-Auto,32233,39.8,3
 2 Series,2019,23480,Manual,1500,42.8,1.5
 5 Series,2019,29980,Semi-Auto,1500,50.4,2
 4 Series,2019,30980,Semi-Auto,2649,41.5,3
 3 Series,2019,31450,Semi-Auto,4460,40.9,2
 3 Series,2019,24990,Manual,4293,64.2,2
 3 Series,2019,23990,Manual,5996,67.3,2
 3 Series,2019,29450,Semi-Auto,4250,53.3,2
 5 Series,2019,31875,Semi-Auto,15,48.7,2
 4 Series,2019,23980,Semi-Auto,14,45.6,2
 3 Series,2017,17990,Semi-Auto,28589,62.8,2
 4 Series,2019,29980,Semi-Auto,1737,53.3,3
 3 Series,2020,23990,Manual,18,56.5,2
 3 Series,2019,28450,Semi-Auto,7350,48.7,2
 5 Series,2019,26350,Semi-Auto,3753,65.7,2
 5 Series,2019,26350,Semi-Auto,7106,65.7,2
 X1,2019,25450,Semi-Auto,5269,40.9,1.5
 4 Series,2016,15957,Manual,33805,62.8,2
 1 Series,2018,15224,Manual,12102,37.7,1.5
 3 Series,2019,24450,Manual,2323,54.3,2
 3 Series,2019,24450,Manual,3340,54.3,2
 5 Series,2020,36850,Semi-Auto,13,44.8,2
 X4,2019,37980,Semi-Auto,10797,40.4,3
 M4,2019,48940,Semi-Auto,12,32.5,3
 M4,2019,41945,Semi-Auto,12,34,3
 X4,2019,35480,Semi-Auto,13142,42.8,2
 5 Series,2019,29450,Semi-Auto,5325,60.1,2
 3 Series,2019,29990,Semi-Auto,8235,48.7,2
 3 Series,2019,28450,Semi-Auto,8349,43.5,2
 4 Series,2019,24975,Semi-Auto,5022,65.7,2
 4 Series,2019,24975,Semi-Auto,11736,65.7,2
 5 Series,2020,31990,Semi-Auto,10,50.4,2
 5 Series,2020,32850,Semi-Auto,9,47.9,2
 Z4,2020,35850,Semi-Auto,5,37.2,2
 Z4,2020,33450,Semi-Auto,5,38.7,2
 3 Series,2020,24490,Manual,5,56.5,2
 2 Series,2020,22990,Manual,12,60.1,2
 3 Series,2020,41990,Semi-Auto,9,34.9,3
 X1,2019,24980,Manual,3730,49.6,1.5
 X1,2019,28790,Semi-Auto,3740,44.8,2
 2 Series,2019,21945,Semi-Auto,8377,47.9,2
 4 Series,2019,24740,Semi-Auto,11,48.7,2
 5 Series,2015,16990,Semi-Auto,34250,62.8,2
 1 Series,2020,24980,Semi-Auto,5000,42.8,1.5
 4 Series,2016,16730,Manual,17309,62.8,2
 1 Series,2014,15965,Manual,30000,35.3,3
 4 Series,2015,17465,Semi-Auto,40500,55.4,3
 2 Series,2018,19240,Automatic,13077,47.9,2
 X1,2017,15300,Manual,55426,58.9,2
 3 Series,2018,18650,Semi-Auto,29751,60.1,2
 X1,2013,8562,Manual,67932,51.4,2
 4 Series,2014,14999,Semi-Auto,15056,44.8,2
 1 Series,2017,14780,Manual,23552,72.4,1.5
 M4,2019,45475,Semi-Auto,24,34,3
 3 Series,2019,31450,Semi-Auto,4568,41.5,2
 1 Series,2019,16950,Semi-Auto,12345,74.3,2
 3 Series,2019,25750,Semi-Auto,12647,52.3,2
 3 Series,2019,25750,Semi-Auto,10568,52.3,2
 X5,2019,46950,Semi-Auto,7246,37.7,3
 1 Series,2017,18480,Semi-Auto,14193,54.3,1.5
 5 Series,2019,26350,Semi-Auto,5453,65.7,2
 2 Series,2020,22450,Manual,10,64.2,2
 3 Series,2020,29990,Semi-Auto,12,49.6,2
 3 Series,2020,23850,Semi-Auto,15,42.2,2
 Z4,2020,28990,Semi-Auto,5,38.2,2
 4 Series,2020,37450,Semi-Auto,11,47.9,3
 Z4,2020,30990,Semi-Auto,10,38.7,2
 Z4,2020,30990,Semi-Auto,12,38.7,2
 3 Series,2017,19895,Semi-Auto,11700,64.2,2
 3 Series,2019,23980,Semi-Auto,4063,62.8,2
 3 Series,2019,29990,Manual,10,54.3,2
 2 Series,2019,21480,Semi-Auto,1850,50.4,1.5
 M2,2019,47980,Semi-Auto,100,29.1,3
 4 Series,2019,22480,Semi-Auto,4020,60.1,2
 2 Series,2019,20980,Semi-Auto,4691,47.1,2
 5 Series,2019,28990,Semi-Auto,5471,48.7,2
 5 Series,2019,31880,Semi-Auto,4669,60.1,3
 3 Series,2019,31450,Semi-Auto,4682,40.9,2
 2 Series,2019,23975,Manual,10,60.1,2
 2 Series,2019,23940,Semi-Auto,9,62.8,2
 5 Series,2019,31875,Semi-Auto,12,48.7,2
 2 Series,2017,19480,Semi-Auto,14612,55.4,2
 1 Series,2016,16280,Semi-Auto,5796,54.3,1.5
 4 Series,2019,26950,Semi-Auto,500,65.7,2
 3 Series,2017,17980,Semi-Auto,13350,51.4,2
 X2,2019,44980,Semi-Auto,500,58.9,2
 4 Series,2019,25990,Semi-Auto,11,58.9,2
 3 Series,2019,24990,Manual,4229,64.2,2
 X1,2017,21250,Semi-Auto,17961,44.8,2
 2 Series,2017,21000,Semi-Auto,29484,39.8,3
 X3,2019,31000,Semi-Auto,6981,30.4,2
 4 Series,2019,25000,Semi-Auto,8592,65.7,2
 3 Series,2019,20900,Semi-Auto,30243,48.7,2
 X3,2018,30000,Semi-Auto,71587,54.3,2
 1 Series,2016,11250,Manual,35447,68.9,2
 5 Series,2014,12891,Semi-Auto,72000,57.6,2
 4 Series,2017,15991,Semi-Auto,37847,65.7,2
 2 Series,2016,16195,Automatic,23594,141.2,1.5
 X1,2016,17980,Semi-Auto,39004,44.8,2
 4 Series,2018,20991,Manual,11455,46.3,2
 6 Series,2014,17791,Semi-Auto,45012,49.6,3
 1 Series,2015,11711,Manual,40560,57.6,2
 7 Series,2016,23995,Semi-Auto,23600,41.5,3
 4 Series,2016,15650,Manual,34236,46.3,2
 1 Series,2017,14397,Manual,9243,52.3,1.5
 1 Series,2017,11650,Manual,29116,83.1,1.5
 1 Series,2017,14420,Manual,17357,70.6,1.5
 4 Series,2018,21980,Semi-Auto,10146,65.7,2
 7 Series,2019,50980,Semi-Auto,7606,44.8,3
 X1,2019,25745,Semi-Auto,4928,60.1,2
 4 Series,2020,32950,Semi-Auto,10,41.5,3
 4 Series,2020,27950,Semi-Auto,10,45.6,2
 4 Series,2020,27950,Manual,10,62.8,2
 4 Series,2020,26950,Semi-Auto,10,48.7,2
 1 Series,2016,13984,Manual,15445,52.3,1.5
 5 Series,2016,14280,Automatic,52889,62.8,2
 3 Series,2016,12600,Manual,19800,52.3,1.5
 3 Series,2015,13391,Manual,62354,58.9,2
 X3,2017,23991,Semi-Auto,17205,54.3,2
 3 Series,2015,11491,Manual,55700,60.1,2
 X5,2019,47480,Semi-Auto,5209,37.7,3
 5 Series,2015,12393,Semi-Auto,80582,62.8,2
 i3,2016,19490,Automatic,8421,470.8,0
 2 Series,2015,13521,Semi-Auto,55001,68.9,2
 1 Series,2017,14995,Manual,13472,65.7,2
 3 Series,2018,19498,Semi-Auto,32723,48.7,2
 4 Series,2018,23798,Semi-Auto,8781,55.4,3
 2 Series,2019,19741,Manual,4500,52.3,1.5
 1 Series,2017,20491,Manual,12000,36.2,3
 1 Series,2016,18991,Semi-Auto,16279,37.7,3
 1 Series,2015,13091,Manual,35000,65.7,2
 1 Series,2018,14491,Semi-Auto,28542,48.7,1.5
 X1,2018,21991,Semi-Auto,27713,60.1,2
 7 Series,2014,14798,Semi-Auto,60697,50.4,3
 3 Series,2016,16498,Semi-Auto,22489,148.7,2
 3 Series,2015,13798,Semi-Auto,59936,58.9,2
 1 Series,2016,14195,Semi-Auto,38094,65.7,2
 4 Series,2020,42194,Semi-Auto,101,39.2,3
 5 Series,2016,17330,Semi-Auto,31570,62.8,2
 1 Series,2016,13250,Manual,26625,53.3,1.5
 2 Series,2016,17699,Semi-Auto,32746,37.2,3
 4 Series,2020,36902,Semi-Auto,101,58.9,2
 X2,2020,28279,Semi-Auto,101,50.4,2
 X2,2020,30413,Semi-Auto,101,39.2,2
 1 Series,2020,31016,Semi-Auto,101,48.7,2
 M4,2020,51402,Semi-Auto,101,34,3
 3 Series,2020,35158,Semi-Auto,101,48.7,2
 3 Series,2020,36402,Semi-Auto,101,40.4,2
 Z4,2020,37975,Semi-Auto,101,38.7,2
 3 Series,2019,21000,Semi-Auto,10959,64.2,2
 5 Series,2018,29500,Semi-Auto,9629,56.5,3
 X5,2016,26520,Automatic,59000,47.1,3
 3 Series,2018,19992,Semi-Auto,32456,62.8,2
 2 Series,2017,21012,Semi-Auto,36367,39.8,3
 2 Series,2017,21726,Semi-Auto,24442,39.8,3
 1 Series,2016,13158,Semi-Auto,31218,70.6,2
 5 Series,2015,15189,Semi-Auto,54636,60.1,2
 1 Series,2016,12741,Manual,42500,68.9,2
 3 Series,2016,19300,Semi-Auto,13500,134.5,2
 X3,2019,39991,Semi-Auto,1266,54.3,2
 1 Series,2015,14644,Manual,31900,62.8,2
 3 Series,2018,21560,Semi-Auto,36646,53.3,3
 X3,2015,19498,Semi-Auto,30256,54.3,2
 1 Series,2017,21798,Semi-Auto,12967,39.8,3
 3 Series,2018,20498,Semi-Auto,19620,48.7,2
 3 Series,2016,15498,Semi-Auto,13377,51.4,2
 3 Series,2018,20298,Semi-Auto,26751,48.7,2
 3 Series,2018,20998,Semi-Auto,14486,48.7,2
 X4,2019,38000,Semi-Auto,15118,26.9,3
 X5,2018,37500,Automatic,6836,47.1,3
 4 Series,2016,18000,Automatic,15788,65.7,2
 X5,2019,43750,Semi-Auto,10829,37.7,3
 3 Series,2016,19895,Semi-Auto,26200,51.4,3
 2 Series,2018,17798,Semi-Auto,9816,38.2,2
 3 Series,2017,14595,Automatic,24624,51.4,2
 3 Series,2019,28361,Semi-Auto,13547,42.2,2
 2 Series,2019,27416,Semi-Auto,2171,64.2,2
 5 Series,2017,22850,Semi-Auto,20951,60.1,2
 1 Series,2017,16250,Semi-Auto,35332,60.1,2
 5 Series,2019,40985,Semi-Auto,7998,50.4,2
 X2,2019,29000,Semi-Auto,3351,39.2,2
 2 Series,2019,21300,Manual,2455,51.4,2
 X1,2019,31200,Semi-Auto,2517,36.7,2
 Z4,2019,34890,Semi-Auto,156,38.7,2
 X2,2019,33800,Semi-Auto,4291,34,2
 2 Series,2019,21600,Manual,1455,51.4,2
 3 Series,2019,25330,Semi-Auto,2307,65.7,2
 3 Series,2016,14230,Manual,57736,47.9,2
 X1,2019,30920,Manual,5234,68.9,2
 4 Series,2018,20750,Semi-Auto,7261,60.1,2
 X4,2019,38500,Semi-Auto,10802,37.2,3
 7 Series,2019,48782,Semi-Auto,101,41.5,3
 5 Series,2019,42650,Semi-Auto,101,50.4,2
 3 Series,2016,22500,Semi-Auto,24079,49.6,3
 3 Series,2015,15000,Semi-Auto,47773,58.9,2
 4 Series,2019,24250,Automatic,5758,65.7,2
 3 Series,2019,24000,Automatic,12473,52.3,2
 X5,2019,53500,Automatic,6601,33.6,3
 3 Series,2019,27850,Automatic,2965,52.3,2
 3 Series,2018,22900,Semi-Auto,27800,48.7,2
 4 Series,2019,25900,Semi-Auto,12202,48.7,2
 5 Series,2019,42650,Semi-Auto,101,50.4,2
 5 Series,2019,42400,Semi-Auto,101,50.4,2
 7 Series,2019,50390,Semi-Auto,2218,33.6,3
 7 Series,2019,46500,Semi-Auto,6249,42.2,3
 3 Series,2019,23298,Semi-Auto,15221,62.8,2
 X1,2016,14998,Manual,52422,58.9,2
 X1,2017,21350,Automatic,17877,60.1,2
 2 Series,2019,21500,Manual,6649,42.2,1.5
 7 Series,2019,52900,Semi-Auto,2919,41.5,3
 3 Series,2018,21397,Semi-Auto,5034,62.8,2
 2 Series,2019,26991,Manual,103,51.4,2
 2 Series,2019,27990,Semi-Auto,1614,49.6,2
 2 Series,2019,28361,Semi-Auto,101,50.4,2
 3 Series,2016,13298,Semi-Auto,62655,64.2,2
 4 Series,2016,19444,Semi-Auto,55297,50.4,3
 X1,2017,21250,Semi-Auto,17962,44.8,2
 5 Series,2017,26500,Automatic,17766,60.1,3
 2 Series,2018,19000,Semi-Auto,9641,38.2,2
 3 Series,2019,26750,Semi-Auto,4327,53.3,3
 3 Series,2018,19900,Semi-Auto,12030,64.2,2
 3 Series,2017,14558,Semi-Auto,28487,54.3,1.5
 X1,2016,16650,Semi-Auto,27843,65.7,2
 3 Series,2019,37991,Semi-Auto,7447,34.9,3
 X5,2017,33991,Automatic,32771,47.1,3
 X4,2019,38500,Semi-Auto,12733,37.2,3
 2 Series,2017,16991,Manual,20626,62.8,2
 M3,2017,37591,Semi-Auto,15770,34,3
 X7,2019,65050,Semi-Auto,3192,33.6,3
 5 Series,2019,28800,Semi-Auto,5360,65.7,2
 3 Series,2019,29480,Semi-Auto,2228,52.3,2
 1 Series,2019,16980,Manual,12,68.9,2
 4 Series,2019,24785,Semi-Auto,2924,48.7,2
 4 Series,2016,18490,Semi-Auto,38692,65.7,2
 3 Series,2018,19490,Semi-Auto,28816,48.7,2
 3 Series,2019,26260,Semi-Auto,14612,41.5,3
 X5,2016,30991,Automatic,14286,47.1,3
 3 Series,2015,14531,Semi-Auto,41330,61.4,2
 X5,2017,37500,Automatic,11261,42.8,3
 2 Series,2017,17858,Automatic,28561,135.5,1.5
 7 Series,2016,29240,Semi-Auto,20619,54.3,3
 1 Series,2017,19991,Manual,20302,36.2,3
 3 Series,2019,27480,Manual,18,54.3,2
 4 Series,2019,29840,Semi-Auto,6011,60.1,2
 2 Series,2019,21480,Manual,3347,61.4,2
 2 Series,2019,19980,Manual,1900,42.8,1.5
 2 Series,2019,19980,Manual,10,42.8,1.5
 X1,2019,25780,Semi-Auto,4224,60.1,2
 3 Series,2019,27480,Manual,4398,54.3,2
 2 Series,2020,21890,Semi-Auto,11,50.4,1.5
 3 Series,2019,26498,Semi-Auto,17794,48.7,2
 1 Series,2016,11491,Manual,36200,83.1,1.5
 1 Series,2013,15991,Semi-Auto,50039,37.7,3
 3 Series,2015,15991,Semi-Auto,48000,53.3,3
 5 Series,2018,29991,Semi-Auto,12000,60.1,3
 4 Series,2015,15991,Manual,28000,44.8,2
 X3,2019,33990,Semi-Auto,3440,54.3,2
 X3,2019,38990,Semi-Auto,5656,36.7,3
 3 Series,2020,30940,Semi-Auto,1586,50.4,2
 2 Series,2019,22990,Manual,8567,51.4,2
 1 Series,2020,29950,Semi-Auto,3422,48.7,2
 3 Series,2017,20990,Semi-Auto,6971,60.1,2
 X1,2017,19990,Semi-Auto,18754,65.7,2
 Z4,2020,33850,Semi-Auto,5,38.7,2
 3 Series,2014,13990,Semi-Auto,29046,62.8,2
 2 Series,2017,18990,Semi-Auto,31208,65.7,2
 M4,2020,48950,Semi-Auto,17,32.5,3
 5 Series,2020,26990,Semi-Auto,14,50.4,2
 2 Series,2016,14490,Semi-Auto,40115,64.2,2
 3 Series,2015,13990,Semi-Auto,45116,47.9,2
 5 Series,2019,32990,Semi-Auto,4716,53.3,3
 2 Series,2019,20840,Semi-Auto,6050,50.4,1.5
 1 Series,2017,15450,Semi-Auto,19383,72.4,1.5
 1 Series,2017,20990,Semi-Auto,25249,61.4,2
 5 Series,2019,25490,Semi-Auto,5656,50.4,2
 3 Series,2019,37490,Semi-Auto,9565,34.9,3
 5 Series,2020,42124,Semi-Auto,101,39.2,3
 X6,2016,27750,Semi-Auto,38680,47.1,3
 X3,2019,31200,Semi-Auto,17173,30.4,2
 4 Series,2019,34885,Semi-Auto,4883,60.1,2
 1 Series,2019,32760,Semi-Auto,2690,34.5,2
 4 Series,2019,22690,Semi-Auto,4940,65.7,2
 4 Series,2019,22490,Semi-Auto,7949,65.7,2
 X3,2020,32490,Semi-Auto,6565,54.3,2
 2 Series,2018,18990,Semi-Auto,13600,38.2,2
 3 Series,2017,20030,Semi-Auto,44751,48.7,2
 4 Series,2017,20385,Semi-Auto,19221,65.7,2
 3 Series,2018,21420,Semi-Auto,21328,60.1,2
 4 Series,2016,19972,Semi-Auto,15705,48.7,2
 4 Series,2018,21216,Semi-Auto,11685,65.7,2
 3 Series,2019,20298,Manual,6018,64.2,2
 4 Series,2019,32087,Semi-Auto,1678,65.7,2
 X3,2019,34991,Semi-Auto,2549,54.3,2
 3 Series,2016,16200,Semi-Auto,17252,62.8,2
 X4,2020,49481,Semi-Auto,101,37.2,3
 X4,2020,41904,Semi-Auto,101,42.8,2
 1 Series,2020,26991,Semi-Auto,5,40.4,1.5
 3 Series,2017,17991,Semi-Auto,48356,64.2,2
 4 Series,2019,21990,Semi-Auto,9654,65.7,2
 4 Series,2019,24490,Manual,9232,42.8,2
 4 Series,2019,23490,Semi-Auto,8175,65.7,2
 X2,2020,34990,Semi-Auto,10,34,2
 Z4,2020,30990,Semi-Auto,100,38.7,2
 3 Series,2020,28990,Semi-Auto,14,50.4,2
 5 Series,2019,35840,Semi-Auto,11,53.3,3
 4 Series,2015,16990,Semi-Auto,24450,42.8,2
 5 Series,2018,31490,Semi-Auto,11798,39.2,3
 3 Series,2015,16990,Semi-Auto,29706,62.8,2
 1 Series,2017,14950,Manual,13971,68.9,2
 X3,2017,22490,Semi-Auto,13697,54.3,2
 2 Series,2016,14990,Semi-Auto,16685,53.3,1.5
 2 Series,2017,14990,Manual,14643,52.3,1.5
 X7,2020,77990,Semi-Auto,5656,31.4,3
 X6,2020,67990,Semi-Auto,5656,33.2,3
 X7,2019,77880,Semi-Auto,6506,31.4,3
 5 Series,2020,27990,Semi-Auto,9,36.2,2
 3 Series,2020,24990,Semi-Auto,22,54.3,2
 2 Series,2020,21890,Semi-Auto,10,50.4,1.5
 5 Series,2020,26990,Semi-Auto,6,52.3,2
 3 Series,2017,17490,Semi-Auto,18138,64.2,2
 M4,2016,30490,Semi-Auto,38422,34,3
 X5,2017,38990,Automatic,19094,42.8,3
 1 Series,2020,23490,Manual,6565,53.3,2
 2 Series,2020,22990,Semi-Auto,11,47.9,2
 X4,2019,36490,Semi-Auto,4068,40.9,3
 1 Series,2019,24490,Semi-Auto,2036,53.3,2
 3 Series,2020,24990,Semi-Auto,16,54.3,2
 5 Series,2020,27990,Semi-Auto,9,49.6,2
 4 Series,2019,28990,Semi-Auto,5656,50.4,3
 X4,2019,34990,Semi-Auto,5656,42.8,2
 1 Series,2019,25490,Manual,10,53.3,2
 5 Series,2019,26350,Semi-Auto,10312,65.7,2
